"OC_CODICE_PROGRAMMA";"x_CICLO";"x_AMBITO";"x_GRUPPO";"x_PROGRAMMA";"FLT";"NOTE"
"2016PATTIBARI";"2014-2020";"FSC";"PATTI";"PATTO BARI";"PUGLIA";
"2016PATTICAGL";"2014-2020";"FSC";"PATTI";"PATTO CAGLIARI";"SARDEGNA";
"2016PATTICAT";"2014-2020";"FSC";"PATTI";"PATTO CATANIA";"SICILIA";
"2016PATTIFIR";"2014-2020";"FSC";"PATTI";"PATTO FIRENZE";"TOSCANA";
"2016PATTIGEN";"2014-2020";"FSC";"PATTI";"PATTO GENOVA";"LIGURIA";
"2016PATTILAZ";"2014-2020";"FSC";"PATTI";"PATTO LAZIO";"LAZIO";
"2016PATTILOMB";"2014-2020";"FSC";"PATTI";"PATTO LOMBARDIA";"LOMBARDIA";
"2016PATTIMIL";"2014-2020";"FSC";"PATTI";"PATTO MILANO";"LOMBARDIA";
"2016PATTINAP";"2014-2020";"FSC";"PATTI";"PATTO NAPOLI";"CAMPANIA";
"2016PATTIPAL";"2014-2020";"FSC";"PATTI";"PATTO PALERMO";"SICILIA";
"2016PATTIPUG";"2014-2020";"FSC";"PATTI";"PATTO PUGLIA";"PUGLIA";
"2016PATTISICI";"2014-2020";"FSC";"PATTI";"PATTO SICILIA";"SICILIA";
"2018FREJUSFSC";"2014-2020";"FSC";"ALTRO";"TRAFORO FREJUS";"NAZ";
"2017NAPOLI-POZZ";"2014-2020";"FSC";"ALTRO";"COLLEGAMENTO PORTO DI POZZUOLI";"NAZ";
"2015XMINTFSC016";"2014-2020";"FSC";"ALTRO";"PIANO SICUREZZA URBANA ROMA";"NAZ";"x_CICLO era 2007-2013"
"2012XMITRFSC005";"2014-2020";"FSC";"ALTRO";"LINEA METROPOLITANA DI MILANO M5";"NAZ";
"2014IT16M2OP001";"2014-2020";"FESR-FSE";"POR";"POR MOLISE FESR FSE";"MOLISE";
"2014IT16M2OP002";"2014-2020";"FESR-FSE";"POR";"POR PUGLIA FESR FSE";"PUGLIA";
"2014IT16M2OP006";"2014-2020";"FESR-FSE";"POR";"POR CALABRIA FESR FSE";"CALABRIA";
"2014IT16M2OP003";"2014-2020";"FESR-FSE";"PON";"PON LEGALITA'";"NAZ";
"2014IT16M2OP004";"2014-2020";"FESR-FSE";"PON";"PON METRO";"NAZ";
"2014IT16M2OP005";"2014-2020";"FESR-FSE";"PON";"PON RICERCA";"NAZ";
"2014IT05M2OP001";"2014-2020";"FESR-FSE";"PON";"PON SCUOLA";"NAZ";
"2014IT05M2OP002";"2014-2020";"FESR-FSE";"PON";"PON GOVERNANCE";"NAZ";
"2014IT16RFOP004";"2014-2020";"FESR";"POR";"POR ABRUZZO FESR";"ABRUZZO";
"2014IT16RFOP005";"2014-2020";"FESR";"POR";"POR PA BOLZANO FESR";"PA BOLZANO";
"2014IT16RFOP007";"2014-2020";"FESR";"POR";"POR CAMPANIA FESR";"CAMPANIA";
"2014IT16RFOP008";"2014-2020";"FESR";"POR";"POR EMILIA-ROMAGNA FESR";"EMILIA-ROMAGNA";
"2014IT16RFOP009";"2014-2020";"FESR";"POR";"POR FRIULI-VENEZIA GIULIA FESR";"FRIULI-VENEZIA GIULIA";
"2014IT16RFOP010";"2014-2020";"FESR";"POR";"POR LAZIO FESR";"LAZIO";
"2014IT16RFOP011";"2014-2020";"FESR";"POR";"POR LIGURIA FESR";"LIGURIA";
"2014IT16RFOP012";"2014-2020";"FESR";"POR";"POR LOMBARDIA FESR";"LOMBARDIA";
"2014IT16RFOP013";"2014-2020";"FESR";"POR";"POR MARCHE FESR";"MARCHE";
"2014IT16RFOP014";"2014-2020";"FESR";"POR";"POR PIEMONTE FESR";"PIEMONTE";
"2014IT16RFOP015";"2014-2020";"FESR";"POR";"POR SARDEGNA FESR";"SARDEGNA";
"2014IT16RFOP016";"2014-2020";"FESR";"POR";"POR SICILIA FESR";"SICILIA";
"2014IT16RFOP017";"2014-2020";"FESR";"POR";"POR TOSCANA FESR";"TOSCANA";
"2014IT16RFOP018";"2014-2020";"FESR";"POR";"POR PA TRENTO FESR";"PA TRENTO";
"2014IT16RFOP019";"2014-2020";"FESR";"POR";"POR UMBRIA FESR";"UMBRIA";
"2014IT16RFOP020";"2014-2020";"FESR";"POR";"POR VALLE D'AOSTA FESR";"VALLE D'AOSTA";
"2014IT16RFOP021";"2014-2020";"FESR";"POR";"POR VENETO FESR";"VENETO";
"2014IT16RFOP022";"2014-2020";"FESR";"POR";"POR BASILICATA FESR";"BASILICATA";
"2015IT16RFSM001";"2014-2020";"FESR";"PON";"PON INIZIATIVA PMI";"NAZ";
"2014IT16RFOP001";"2014-2020";"FESR";"PON";"PON CULTURA";"NAZ";
"2014IT16RFOP002";"2014-2020";"FESR";"PON";"PON INFRASTRUTTURE";"NAZ";
"2014IT16RFOP003";"2014-2020";"FESR";"PON";"PON IMPRESE";"NAZ";
"2014IT06RDRP001";"2014-2020";"FEASR";"POR";"PSR ABRUZZO";"ABRUZZO";
"2014IT06RDRP002";"2014-2020";"FEASR";"POR";"PSR BOLZANO";"PA BOLZANO";
"2014IT06RDRP003";"2014-2020";"FEASR";"POR";"PSR EMILIA-ROMAGNA";"EMILIA-ROMAGNA";
"2014IT06RDRP004";"2014-2020";"FEASR";"POR";"PSR FRIULI-VENEZIA GIULIA";"FRIULI-VENEZIA GIULIA";
"2014IT06RDRP005";"2014-2020";"FEASR";"POR";"PSR LAZIO";"LAZIO";
"2014IT06RDRP006";"2014-2020";"FEASR";"POR";"PSR LIGURIA";"LIGURIA";
"2014IT06RDRP007";"2014-2020";"FEASR";"POR";"PSR LOMBARDIA";"LOMBARDIA";
"2014IT06RDRP008";"2014-2020";"FEASR";"POR";"PSR MARCHE";"MARCHE";
"2014IT06RDRP009";"2014-2020";"FEASR";"POR";"PSR PIEMONTE";"PIEMONTE";
"2014IT06RDRP010";"2014-2020";"FEASR";"POR";"PSR TOSCANA";"TOSCANA";
"2014IT06RDRP011";"2014-2020";"FEASR";"POR";"PSR TRENTO";"PA TRENTO";
"2014IT06RDRP012";"2014-2020";"FEASR";"POR";"PSR UMBRIA";"UMBRIA";
"2014IT06RDRP013";"2014-2020";"FEASR";"POR";"PSR VALLE D'AOSTA";"VALLE D'AOSTA";
"2014IT06RDRP014";"2014-2020";"FEASR";"POR";"PSR VENETO";"VENETO";
"2014IT06RDRP015";"2014-2020";"FEASR";"POR";"PSR MOLISE";"MOLISE";
"2014IT06RDRP016";"2014-2020";"FEASR";"POR";"PSR SARDEGNA";"SARDEGNA";
"2014IT06RDRP017";"2014-2020";"FEASR";"POR";"PSR BASILICATA";"BASILICATA";
"2014IT06RDRP018";"2014-2020";"FEASR";"POR";"PSR CALABRIA";"CALABRIA";
"2014IT06RDRP019";"2014-2020";"FEASR";"POR";"PSR CAMPANIA";"CAMPANIA";
"2014IT06RDRP020";"2014-2020";"FEASR";"POR";"PSR PUGLIA";"PUGLIA";
"2014IT06RDRP021";"2014-2020";"FEASR";"POR";"PSR SICILIA";"SICILIA";
"2014IT06RDNP001";"2014-2020";"FEASR";"PON";"PSR NAZIONALE";"NAZ";
"2014IT06RDRN001";"2014-2020";"FEASR";"PON";"RETE RURALE NAZIONALE";"NAZ";
"2014TC16I5CB008";"2014-2020";"CTE";"IPA";"IPA-CBC ITA-ALB-MON";"NAZ";
"2014TC16M4TN001";"2014-2020";"CTE";"TRANSNATIONAL";"MED";"NAZ";
"2014TC16RFCB020";"2014-2020";"CTE";"CROSSBORDER";"INTERREG GRE-ITALY";"NAZ";
"2014TC16RFCB033";"2014-2020";"CTE";"CROSSBORDER";"INTERREG ITA-FRA MARITIME";"NAZ";
"2014TC16RFCB034";"2014-2020";"CTE";"CROSSBORDER";"INTERREG FR-ITA ALCOTRA";"NAZ";
"2014TC16RFCB035";"2014-2020";"CTE";"CROSSBORDER";"INTERREG ITA-SWI";"NAZ";
"2014TC16RFCB036";"2014-2020";"CTE";"CROSSBORDER";"INTERREG ITA-SLO";"NAZ";
"2014TC16RFCB037";"2014-2020";"CTE";"CROSSBORDER";"INTERREG ITA-MLT";"NAZ";
"2014TC16RFCB042";"2014-2020";"CTE";"CROSSBORDER";"INTERREG ITA-HRO";"NAZ";
"2014TC16RFCB052";"2014-2020";"CTE";"CROSSBORDER";"INTERREG ITA-AUS";"NAZ";
"2014TC16RFIR001";"2014-2020";"CTE";"INTERREGIONAL";"INTERREG EUROPE";"NAZ";
"2014TC16M4TN002";"2014-2020";"CTE";"TRANSNATIONAL";"ADRION";"NAZ";
"2014TC16RFIR002";"2014-2020";"CTE";"INTERREGIONAL";"INTERACT";"NAZ";
"2014TC16RFIR003";"2014-2020";"CTE";"INTERREGIONAL";"URBACT";"NAZ";
"2014TC16RFIR004";"2014-2020";"CTE";"INTERREGIONAL";"ESPON";"NAZ";
"2014TC16RFTN001";"2014-2020";"CTE";"TRANSNATIONAL";"ALPINE SPACE";"NAZ";
"2014TC16RFTN003";"2014-2020";"CTE";"TRANSNATIONAL";"CENTRAL EUROPE";"NAZ";
"AREEINTASSTEC";"2014-2020";"SNAI";"AREE INTERNE";"SAI ASSISTENZA TECNICA";"NAZ";
"2018AREAINTLIG";"2014-2020";"SNAI";"AREE INTERNE";"SAI LIGURIA";"LIGURIA";
"2018AREAINTUMB";"2014-2020";"SNAI";"AREE INTERNE";"SAI UMBRIA";"UMBRIA";
"2018AREAINTVALD";"2014-2020";"SNAI";"AREE INTERNE";"SAI VALLE D'AOSTA";"VALLE D'AOSTA";
"2017AREAINTABRU";"2014-2020";"SNAI";"AREE INTERNE";"SAI ABRUZZO";"ABRUZZO";
"2017AREAINTCAMP";"2014-2020";"SNAI";"AREE INTERNE";"SAI CAMPANIA";"CAMPANIA";
"2017AREAINTLOMB";"2014-2020";"SNAI";"AREE INTERNE";"SAI LOMBARDIA";"LOMBARDIA";
"2017AREAINTMARC";"2014-2020";"SNAI";"AREE INTERNE";"SAI MARCHE";"MARCHE";
"2014IT14MFOP001";"2014-2020";"FEAMP";"FEAMP";"PON FEAMP";"NAZ";
"2014IT05FMOP001";"2014-2020";"FEAD";"FEAD";"PON FEAD";"NAZ";
"2014IT65AMNP001";"2014-2020";"FAMI";"FAMI";"PON FAMI";"NAZ";
"2007IT001FAOS6";"2007-2013";"FSC";"OBIETTIVI DI SERVIZIO";"ODS CALABRIA";"CALABRIA";
"2007IT001FAOS4";"2007-2013";"FSC";"OBIETTIVI DI SERVIZIO";"ODS PUGLIA";"PUGLIA";
"2007CB163PO014";"2007-2013";"CTE";"CTE";"PO CTE FESR SPAZIO ALPINO 2007/2013";"NAZ";
"2007CB163PO033";"2007-2013";"CTE";"CTE";"PO CTE FESR ITALIA - FRANCIA MARITTIMO";"NAZ";
"2007CB163PO034";"2007-2013";"CTE";"CTE";"PO CTE FESR ITALIA - FRANCIA ALCOTRA";"NAZ";
"2007CB163PO035";"2007-2013";"CTE";"CTE";"PO CTE FESR ITALIA - SVIZZERA";"NAZ";
"2007CB163PO036";"2007-2013";"CTE";"CTE";"PO CTE FESR ITALIA - SLOVENIA";"NAZ";
"2007CB163PO037";"2007-2013";"CTE";"CTE";"PO CTE FESR ITALIA - MALTA";"NAZ";
"2007CB163PO045";"2007-2013";"CTE";"CTE";"PO CTE FESR MEDITERRANEO";"NAZ";
"2007CB163PO052";"2007-2013";"CTE";"CTE";"PO CTE FESR ITALIA - AUSTRIA";"NAZ";
"2007CB163PO061";"2007-2013";"CTE";"CTE";"PO CTE FESR EUROPA CENTRALE";"NAZ";
"2007CB163PO069";"2007-2013";"CTE";"CTE";"PO CTE FESR EUROPA SUD-ORIENTALE";"NAZ";
"FSCCOMUNI";"2014-2020";"FSC";"ALTRO";"RISORSE FSC ASSEGNATE AI COMUNI";"NAZ";"x_CICLO era 2007-2013"
"FSCBOSCOREALE";"2014-2020";"FSC";"ALTRO";;"NAZ";
"FSCCIVITELLATRO";"2014-2020";"FSC";"ALTRO";;"NAZ";
"FSCCOMAGEROLA";"2014-2020";"FSC";"ALTRO";;"NAZ";
"FSCCOMDIAMANTE";"2014-2020";"FSC";"ALTRO";;"NAZ";
"FSCCOMFUCECCHIO";"2014-2020";"FSC";"ALTRO";;"NAZ";
"FSCCOMLARIANO";"2014-2020";"FSC";"ALTRO";;"NAZ";
"FSCCOMLUNANO";"2014-2020";"FSC";"ALTRO";;"NAZ";
"FSCCOMLUOGOSANT";"2014-2020";"FSC";"ALTRO";;"NAZ";
"FSCCOMMANTOVA";"2014-2020";"FSC";"ALTRO";;"NAZ";
"FSCCOMSUTERA";"2014-2020";"FSC";"ALTRO";;"NAZ";
"FSCCOMUNELURAS";"2014-2020";"FSC";"ALTRO";;"NAZ";
"FSCCOMUNENARNI";"2014-2020";"FSC";"ALTRO";;"NAZ";
"FSCCOMUNETODI";"2014-2020";"FSC";"ALTRO";;"NAZ";
"FSCMARSCIANO";"2014-2020";"FSC";"ALTRO";;"NAZ";
"FSCCOMCALANGIAN";"2014-2020";"FSC";"ALTRO";;"NAZ";
"FSCCOMUNEMASSA";"2014-2020";"FSC";"ALTRO";;"NAZ";
"2007IT052PO009:::2016BOXXXPAC00";"2007-2013";"FSE";"POR";"POR CRO FSE PA BOLZANO:::PROGRAMMA PAC P.A. BOLZANO";"PA BOLZANO";"Era FESR a ottobre per errore"
"2007IT051PO001:::2012CAXXXPAC00";"2007-2013";"FSE";"POR";"POR CONV FSE CAMPANIA:::PROGRAMMA PAC CAMPANIA";"CAMPANIA";"Era FESR a ottobre per errore"
"2007IT051PO007:::2007IT001FAOS9";"2007-2013";"FSE";"PON";"PON CONV FSE COMPETENZE PER LO SVILUPPO:::PROGRAMMA OBIETTIVI DI SERVIZIO MIUR";"NAZ";"Era FESR a ottobre per errore"
"2007IT161PO011:::2007SI001FA011";"2007-2013";"FESR";"POR";"POR CONV FESR SICILIA:::PROGRAMMA REGIONALE DI ATTUAZIONE (PRA) FSC SICILIA";"SICILIA";
"2007IT161PO012:::2017BAXXXPAC00";"2007-2013";"FESR";"POR";"POR CONV FESR BASILICATA:::PROGRAMMA PAC BASILICATA";"BASILICATA";
"2007IT161PO009:::2012CAXXXPAC00";"2007-2013";"FESR";"POR";"POR CONV FESR CAMPANIA:::PROGRAMMA PAC CAMPANIA";"CAMPANIA";
"2007IT162PO016:::2012SAXXXPAC00";"2007-2013";"FESR";"POR";"POR CRO FESR SARDEGNA:::PROGRAMMA PAC SARDEGNA";"SARDEGNA";
"2007IT161PO011:::2012SIXXXPAC00";"2007-2013";"FESR";"POR";"POR CONV FESR SICILIA:::PROGRAMMA PAC SICILIA";"SICILIA";
"2007IT161PO001:::2012MIBACPAC21";"2007-2013";"FESR";"POIN";"POIN CONV FESR ATTRATTORI CULTURALI, NATURALI E TURISMO:::PROGRAMMA PAC MINISTERO DEI BENI CULTURALI";"NAZ";
"2007IT161PO002:::2012MISE1PAC31";"2007-2013";"FESR";"POIN";"POIN CONV FESR ENERGIE RINNOVABILI E RISPARMIO ENERGETICO:::PROGRAMMA PAC MINISTERO DELLO SVILUPPO ECONOMICO - NUOVE AZIONI E MISURE ANTICICLICHE";"NAZ";
"2007IT161PO003:::2014ACTXXPAC00";"2007-2013";"FESR";"PON";"PON CONV FESR GOVERNANCE E ASSISTENZA TECNICA:::PROGRAMMA PAC COMPLEMENTARE PON GOVERNANCE E ASSISTENZA TECNICA";"NAZ";
"2007IT161PO004:::2007IT001FAOS9";"2007-2013";"FESR";"PON";"PON CONV FESR ISTRUZIONE - AMBIENTI PER L'APPRENDIMENTO:::PROGRAMMA OBIETTIVI DI SERVIZIO MIUR";"NAZ";
"2007IT161PO006:::2012MISE1PAC22";"2007-2013";"FESR";"PON";"PON CONV FESR RICERCA E COMPETITIVITÀ:::PROGRAMMA PAC MINISTERO DELLO SVILUPPO ECONOMICO - IMPRESE, DOMANDA PUBBLICA E PROMOZIONE";"NAZ";
"2007IT161PO007:::2012MINTXPAC22";"2007-2013";"FESR";"PON";"PON CONV FESR SICUREZZA:::PROGRAMMA PAC MINISTERO DELL'INTERNO - SICUREZZA E LEGALITA'";"NAZ";
"2016PATTICAMP:::2017POIMPCOMFSC";"2014-2020";"FSC";"PIANI OPERATIVI";"PATTO PER LO SVILUPPO REGIONE CAMPANIA:::PIANO OPERATIVO FSC IMPRESE E COMPETITIVITA'";"CAMPANIA";
"2014IT16RFOP003:::2016POCIMPRESE1";"2014-2020";"FESR";"PON";"PON FESR IMPRESE E COMPETITIVITA':::POC IMPRESE E COMPETITIVITA'";"NAZ";
"2014IT16RFOP016:::2016PATTISICI";"2014-2020";"FESR";"POR";"POR FESR SICILIA:::PATTO PER LO SVILUPPO REGIONE SICILIA";"SICILIA";
"2015IT16RFSM001:::2017POIMPCOMFSC";"2014-2020";"FESR";"PON";"PON FESR INIZIATIVA PMI:::PIANO OPERATIVO FSC IMPRESE E COMPETITIVITA'";"NAZ";
"2018MATERAFSC";"2014-2020";"FSC";"PIANI STRALCIO";"MATERA CAPITALE DELLA CULTURA 2019";"NAZ";"new ottobre"
"2014XXSMDFSC004";"2014-2020";"FSC";"PIANI STRALCIO";"PIANO STRALCIO CIS TARANTO";"NAZ";"new ottobre"
"2014IT16M2OP005:::2017FSCRICERCA";"2014-2020";"FESR";"PON";"PON FESR FSE RICERCA E INNOVAZIONE:::PIANO STRALCIO RICERCA E INNOVAZIONE";"NAZ";"new ottobre + da gestire come FESR-FSE"
"COMMTARANTOFSC";"2014-2020";"FSC";"PIANI STRALCIO";"CIS AREA DI TARANTO";"NAZ";"new dicembre"
"FONDOGARANFSC";"2014-2020";"FSC";"ALTRO";"FONDO DI GARANZIA PMI";"NAZ";"new dicembre"
"2014IT16M2OP005:::2017POCRICERCA1";"2014-2020";"FESR";"PON";"PON FESR FSE RICERCA E INNOVAZIONE:::POC RICERCA";"NAZ";"new dicembre post fix"
"2017POCCALABRIA";"2014-2020";"POC";"POC REGIONALI";"POC CALABRIA";"CALABRIA";"contiene completamenti"
"TEMP_BASILICATA";"2014-2020";"POC";"POC REGIONALI";"POC BASILICATA";"BASILICATA";
"TEMP_ENERGIA";"2014-2020";"POC";"POC NAZIONALI";"POC ENERGIA";"NAZ";"contiene completamenti"
"TEMP_MOLISE";"2014-2020";"POC";"POC REGIONALI";"POC MOLISE";"MOLISE";
"TEMP_RETI";"2014-2020";"POC";"POC NAZIONALI";"POC INFRASTRUTTURE";"NAZ";
"TEMP_SCUOLA";"2014-2020";"POC";"POC NAZIONALI";"POC SCUOLA";"NAZ";
"TEMP_SPAO";"2014-2020";"POC";"POC NAZIONALI";"POC SPAO";"NAZ";
"2016MISEBULFSC1";"2014-2020";"FSC";"PIANO OPERATIVO";"PIANO BUL";"NAZ";
"2017TOPIOMBIFSC";"2014-2020";"FSC";"ALTRO";"SIN PIOMBINO";"NAZ";
"2019AGCOEFSC001";"2014-2020";"FSC";"ALTRO";"CPT";"NAZ";
"RISOR_ADD";"2014-2020";"FSC";"Cofinanziamento SIE";"Cofinanziamento risorse addizionali comunitarie";"NAZ";
"Vuoto1";"2014-2020";"FSC";"PIANO OPERATIVO";"PIANO DISSESSTO AREE URBANE";"NAZ";
"vuoto10";"2014-2020";"FSC";"ALTRO";"ILVA";"NAZ";
"vuoto11";"2014-2020";"FSC";"ALTRO";"IMPRENDITORIA GIOVANILE AGRICOLTURA";"NAZ";
"vuoto12";"2014-2020";"FSC";"ALTRO";"EVENTI CALAMITOSI 2009";"NAZ";
"vuoto14";"2014-2020";"FSC";"ALTRO";"ISTITUTI STUDI STORICI E FILOSOFICI NAPOLI";"NAZ";
"vuoto16";"2014-2020";"FSC";"ALTRO";"A24-A25";"NAZ";
"vuoto17";"2014-2020";"FSC";"ALTRO";"RESTO AL SUD";"NAZ";
"vuoto18";"2014-2020";"FSC";"ALTRO";"EDIFICI SCOLASTICI STATALI";"NAZ";
"vuoto19";"2014-2020";"FSC";"ALTRO";"PALAZZO DI GIUSTIZIA DI LECCO";"NAZ";
"Vuoto2";"2014-2020";"FSC";"ALTRO";"AZIONI DI SISTEMA";"NAZ";
"vuoto20";"2014-2020";"FSC";"ALTRO";"POLI TECNOLOGICI CENTRO-NORD";"NAZ";
"vuoto21";"2014-2020";"FSC";"ALTRO";"BANDO AREE URBANE DEGRADATE";"NAZ";
"vuoto22";"2014-2020";"FSC";"PIANO OPERATIVO";"PIANO OPERATIVO SALUTE";"NAZ";
"vuoto23";"2014-2020";"FSC";"PIANO OPERATIVO";"PIANO OPERATIVO SPORT E PERIFERIE";"NAZ";
"vuoto26";"2014-2020";"FSC";"ALTRO";"BANDO PERIFERIE";"NAZ";
"vuoto27";"2014-2020";"FSC";"ALTRO";"ALLUVIONE SARDEGNA";"NAZ";
"vuoto28";"2014-2020";"FSC";"ALTRO";"PORTO DI LIVORNO";"NAZ";
"vuoto29";"2014-2020";"FSC";"ALTRO";"RIASSEGNAZIONI EX DEL. CIPE 21/2014";"NAZ";
"Vuoto3";"2014-2020";"FSC";"ALTRO";"METANIZZAZIONE";"NAZ";
"vuoto30";"2014-2020";"FSC";"ALTRO";"AUTOIMPIEGO";"NAZ";
"vuoto31";"2014-2020";"FSC";"ALTRO";"TPL BASILICATA";"BASILICATA";
"vuoto32";"2014-2020";"FSC";"ALTRO";"TPL CAMPANIA";"CAMPANIA";
"vuoto33";"2014-2020";"FSC";"ALTRO";"TPL PIEMONTE";"PIEMONTE";
"vuoto34";"2014-2020";"FSC";"ALTRO";"TPL UMBRIA";"UMBRIA";
"vuoto35";"2014-2020";"FSC";"ALTRO";"ZONE ECONOMICHE SPECIALI";"NAZ";
"vuoto4";"2014-2020";"FSC";"ALTRO";"SICUREZZA PUBBLICA";"NAZ";
"vuoto40";"2014-2020";"FSC";"ALTRO";"RADIOMONITORING";"NAZ";
"vuoto41";"2014-2020";"FSC";"ALTRO";"RESIDUO";"NAZ";
"vuoto42";"2014-2020";"FSC";"ALTRO";"FONDO DI GARANZIA PMI";"NAZ";
"vuoto43";"2014-2020";"FSC";"Completamenti FS";"COMPLETAMENTI FS 2007-2013";"NAZ";
"vuoto45";"2014-2020";"FSC";"Altro";"LAMPEDUSA";"NAZ";
"vuoto46";"2014-2020";"FSC";"Altro";"SIN TRIESTE";"NAZ";
"vuoto47";"2014-2020";"FSC";"Altro";"SIN BRINDISI";"NAZ";
"vuoto5";"2014-2020";"FSC";"Altro";"SOCIETÀ RISORSE IDRICHE";"NAZ";
"vuoto6";"2014-2020";"FSC";"Altro";"CREDITO DI IMPOSTA INVESTIMENTI";"NAZ";
"vuoto7";"2014-2020";"FSC";"Altro";"CREDITO D'IMPOSTA";"NAZ";
"vuoto8";"2014-2020";"FSC";"Altro";"EDILIZIA SANITARIA";"NAZ";
"vuoto9";"2014-2020";"FSC";"Altro";"FONDO IMPRESE SUD PMI";"NAZ";
"FEAD";"2014-2020";"FEAD";"FEAD";"FEAD";"NAZ";
"SNAI";"2014-2020";"SNAI";"SNAI";"SNAI";"NAZ";
